iter	Passed	Remaining
0	1	1141
1	1	974
2	2	900
3	3	856
4	4	834
5	4	824
6	5	813
7	6	808
8	7	798
9	8	793
10	8	788
11	9	784
12	10	780
13	11	785
14	12	795
15	12	797
16	13	795
17	14	792
18	15	788
19	16	784
20	16	781
21	17	782
22	18	783
23	19	781
24	20	780
25	20	777
26	21	775
27	22	772
28	23	770
29	23	768
30	24	766
31	25	764
32	26	771
33	27	773
34	28	773
35	28	772
36	29	769
37	30	768
38	31	766
39	32	769
40	32	768
41	33	766
42	34	765
43	35	763
44	35	761
45	36	759
46	37	757
47	38	755
48	39	761
49	39	758
50	40	758
51	41	760
52	42	760
53	43	760
54	44	759
55	45	758
56	45	758
57	46	756
58	47	753
59	47	750
60	48	747
61	49	743
62	49	739
63	50	736
64	50	732
65	51	729
66	52	725
67	52	722
68	53	719
69	53	716
70	54	713
71	55	711
72	55	709
73	56	707
74	57	706
75	57	704
76	58	701
77	59	699
78	59	696
79	60	694
80	61	692
81	61	690
82	61	684
83	62	682
84	63	680
85	63	677
86	64	675
87	64	673
88	65	671
89	66	669
90	66	667
91	67	664
92	67	663
93	68	661
94	69	659
95	69	657
96	70	654
97	71	654
98	71	652
99	72	650
100	72	649
101	73	648
102	74	647
103	74	646
104	75	644
105	76	644
106	77	643
107	77	641
108	78	639
109	78	638
110	79	636
111	80	635
112	80	633
113	81	631
114	81	630
115	82	628
116	82	626
117	83	624
118	84	623
119	84	622
120	85	621
121	86	619
122	86	618
123	87	617
124	88	617
125	88	616
126	89	615
127	90	614
128	90	614
129	91	612
130	92	612
131	92	611
132	93	609
133	94	608
134	94	607
135	95	606
136	96	604
137	96	603
138	97	602
139	97	600
140	98	599
141	98	597
142	99	596
143	100	594
144	100	594
145	102	599
146	103	599
147	103	598
148	104	597
149	105	596
150	105	594
151	106	593
152	106	592
153	107	590
154	108	589
155	108	588
156	109	586
157	109	585
158	110	584
159	111	583
160	111	580
161	112	579
162	112	578
163	113	577
164	113	576
165	114	575
166	115	574
167	116	574
168	116	575
169	117	574
170	118	574
171	119	574
172	120	573
173	120	573
174	121	572
175	122	572
176	122	571
177	123	570
178	124	570
179	125	570
180	125	569
181	126	568
182	127	568
183	127	567
184	128	566
185	129	565
186	129	564
187	130	564
188	131	563
189	132	563
190	132	562
191	133	561
192	134	560
193	134	560
194	135	559
195	136	558
196	136	557
197	137	556
198	138	555
199	138	554
200	139	553
201	139	552
202	140	551
203	141	550
204	141	549
205	142	548
206	142	547
207	143	546
208	144	545
209	144	544
210	145	543
211	146	542
212	146	542
213	147	541
214	148	541
215	149	540
216	149	540
217	150	539
218	151	538
219	151	537
220	152	536
221	152	535
222	153	534
223	154	533
224	154	532
225	155	531
226	155	530
227	156	530
228	157	529
229	157	528
230	158	527
231	159	526
232	159	526
233	160	525
234	161	525
235	162	524
236	162	524
237	163	523
238	164	523
239	165	522
240	165	521
241	166	521
242	167	520
243	167	519
244	168	518
245	168	517
246	169	516
247	170	516
248	170	515
249	171	514
250	172	513
251	172	512
252	173	512
253	174	511
254	174	510
255	175	509
256	176	509
257	177	509
258	177	508
259	178	508
260	179	507
261	179	506
262	180	505
263	181	505
264	181	504
265	182	503
266	183	502
267	183	501
268	184	500
269	185	500
270	185	499
271	186	498
272	186	497
273	187	496
274	188	496
275	188	495
276	189	494
277	190	494
278	191	494
279	192	494
280	192	493
281	193	493
282	194	492
283	195	491
284	195	491
285	196	490
286	197	489
287	197	488
288	198	488
289	199	487
290	199	486
291	200	485
292	200	484
293	201	484
294	202	483
295	202	482
296	203	481
297	204	481
298	204	480
299	205	479
300	206	479
301	207	479
302	208	478
303	208	477
304	209	477
305	210	476
306	210	476
307	211	475
308	212	474
309	212	473
310	213	473
311	214	472
312	214	471
313	215	470
314	216	470
315	216	469
316	217	468
317	218	467
318	218	467
319	219	466
320	220	465
321	221	466
322	222	466
323	223	465
324	223	464
325	224	463
326	225	463
327	225	462
328	226	461
329	226	460
330	227	459
331	228	459
332	228	458
333	229	457
334	230	456
335	230	455
336	231	455
337	231	454
338	232	453
339	233	452
340	233	451
341	234	451
342	235	450
343	235	449
344	236	449
345	237	448
346	238	448
347	238	447
348	239	446
349	240	446
350	240	445
351	241	444
352	242	443
353	242	442
354	243	441
355	243	441
356	244	440
357	245	439
358	245	438
359	246	437
360	246	436
361	247	435
